,model_year,origin,fuel_type,drivetrain,num_doors,engine_displacement,num_cylinders,horsepower,vehicle_weight,acceleration,fuel_efficiency_mpg
0,2006,Europe,Gasoline,Front-wheel drive,4,2180,6,243.0,3870,,31.9
1,2008,Europe,Diesel,Front-wheel drive,4,2390,6,272.0,4210,,31.3
2,1996,Asia,Gasoline,Front-wheel drive,5,2320,6,267.0,4240,17.3,27.5
3,1989,Europe,Gasoline,Front-wheel drive,4,2130,6,258.0,4490,18.7,28.5
4,1994,USA,Diesel,Front-wheel drive,3,2580,7,304.0,4510,17.5,31.0
5,2007,USA,Hybrid,Front-wheel drive,2,2290,6,266.0,4260,18.8,31.2
6,1992,Asia,Gasoline,Front-wheel drive,2,2270,6,250.0,4310,21.7,26.8
7,2005,USA,Gasoline,Front-wheel drive,4,2370,6,279.0,4090,17.4,30.2
8,1997,Asia,Gasoline,Rear-wheel drive,3,2330,6,251.0,4230,19.5,30.9
9,2004,USA,Diesel,All-wheel drive,5,2330,6,280.0,4620,17.7,31.2
10,1978,Asia,Gasoline,All-wheel drive,3,2410,6,,4420,19.5,26.8
11,1996,Europe,Diesel,Front-wheel drive,4,2240,6,250.0,3980,16.7,31.4
12,1983,USA,Diesel,Front-wheel drive,3,2370,7,,4390,20.7,30.4
13,2024,USA,Gasoline,Rear-wheel drive,4,2440,6,277.0,4790,20.2,30.2
14,2015,USA,Gasoline,Front-wheel drive,5,1900,6,202.0,4070,18.7,32.8
15,2007,Asia,Diesel,Front-wheel drive,4,2170,5,226.0,3950,18.0,35.4
16,2021,Asia,Gasoline,All-wheel drive,5,2280,6,234.0,4750,20.1,29.7
17,2021,USA,Gasoline,Rear-wheel drive,5,2540,7,299.0,4690,17.9,30.2
18,1995,USA,Gasoline,Front-wheel drive,2,2490,6,264.0,4230,17.7,28.5
19,2006,USA,Gasoline,All-wheel drive,4,2320,6,251.0,4410,15.8,31.4
20,2020,USA,Gasoline,Rear-wheel drive,4,2300,6,260.0,4600,19.6,30.1
21,2016,USA,Gasoline,Front-wheel drive,2,2410,7,291.0,4510,19.4,28.0
22,2019,Asia,Gasoline,Front-wheel drive,5,2350,6,246.0,4450,18.7,32.7
23,1994,Asia,Gasoline,Rear-wheel drive,4,2610,8,302.0,4440,17.1,26.6
24,2021,Europe,Gasoline,Front-wheel drive,3,2160,6,258.0,4180,20.4,31.5
25,2012,Asia,Diesel,Rear-wheel drive,2,2240,6,249.0,4210,18.0,33.8
26,1990,Europe,Gasoline,Front-wheel drive,3,2330,7,254.0,4040,18.8,28.6
27,2021,Europe,Gasoline,Rear-wheel drive,3,2440,6,265.0,4500,20.6,31.0
